Province,AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
安徽,82.237503,60.790001,92.040001,23.080000,16.370001,0.940000,116.629997,2014-07-06

安徽,84.087502,62.270000,93.449997,20.330000,21.080000,0.990000,110.879997,2014-07-07

安徽,66.737503,48.389999,80.440002,16.490000,19.670000,0.720000,123.269997,2014-07-08

安徽,71.849998,52.480000,91.339996,34.160000,29.680000,1.060000,101.970001,2014-07-09

安徽,98.125000,73.500000,120.190002,61.070000,45.310001,1.240000,51.279999,2014-07-10

安徽,75.400002,55.320000,76.680000,19.570000,13.440000,0.900000,99.110001,2014-07-11

安徽,63.860001,43.119999,77.720001,17.040001,22.080000,0.800000,74.790001,2014-07-12

安徽,55.065002,33.959999,60.130001,15.580000,14.420000,0.600000,101.750000,2014-07-13

安徽,55.000000,34.029999,60.000000,16.219999,14.830000,0.710000,97.660004,2014-07-14

安徽,45.270000,28.719999,45.270000,15.780000,13.610000,0.610000,98.699997,2014-07-15

安徽,53.135002,31.559999,56.270000,17.360001,15.170000,0.690000,93.629997,2014-07-16

安徽,43.110001,20.480000,43.110001,17.299999,17.360001,0.670000,62.259998,2014-07-17

安徽,35.580002,18.520000,35.580002,14.830000,15.710000,0.540000,72.120003,2014-07-18

安徽,69.612495,50.689999,83.680000,17.889999,26.680000,1.030000,70.419998,2014-07-19

安徽,65.330002,46.700001,80.660004,22.360001,30.709999,1.000000,59.869999,2014-07-20

安徽,49.810001,27.900000,49.810001,18.410000,16.170000,0.950000,86.540001,2014-07-21

安徽,56.440002,35.759998,62.880001,20.790001,15.220000,0.710000,99.769997,2014-07-22

安徽,91.937500,68.550003,98.389999,47.029999,22.020000,1.200000,89.809998,2014-07-23

安徽,103.212502,77.570000,117.419998,38.799999,29.620001,1.440000,66.559998,2014-07-24

安徽,55.925003,39.740002,53.910000,20.240000,20.379999,0.820000,52.650002,2014-07-25

安徽,68.537506,49.830002,76.139999,31.070000,28.360001,1.000000,87.540001,2014-07-26

安徽,72.612503,53.090000,82.839996,19.110001,22.680000,0.920000,80.040001,2014-07-27

安徽,60.137501,43.110001,67.349998,18.030001,19.260000,0.860000,84.610001,2014-07-28

安徽,84.137505,62.310001,89.349998,18.940001,19.240000,1.020000,95.669998,2014-07-29

安徽,37.950001,24.910000,37.950001,14.290000,17.280001,0.940000,75.669998,2014-07-30

安徽,80.425003,59.340000,77.900002,24.670000,21.700001,1.040000,61.259998,2014-07-31

安徽,44.090000,27.180000,44.090000,19.139999,19.490000,0.660000,28.150000,2014-08-01

安徽,51.580002,32.459999,53.160000,37.820000,23.570000,0.890000,71.959999,2014-08-02

安徽,79.599998,58.680000,81.879997,35.209999,27.139999,0.820000,89.529999,2014-08-03

安徽,97.375000,72.900002,112.970001,29.230000,39.500000,1.200000,92.029999,2014-08-04

安徽,84.062500,62.250000,94.949997,26.990000,25.059999,1.030000,78.230003,2014-08-05

安徽,74.274994,54.419998,92.550003,41.410000,36.360001,1.530000,49.770000,2014-08-06

安徽,36.430000,23.830000,36.430000,19.219999,19.590000,0.970000,71.940002,2014-08-07

安徽,70.275002,51.220001,79.589996,41.840000,29.840000,1.340000,96.800003,2014-08-08

安徽,59.425003,42.540001,64.470001,29.590000,29.670000,1.410000,61.389999,2014-08-09

安徽,65.312500,47.250000,61.529999,15.770000,8.740000,0.730000,110.410004,2014-08-10

安徽,55.900002,38.900002,61.799999,11.560000,11.440000,0.900000,110.489998,2014-08-11

安徽,70.175003,51.139999,83.930000,12.780000,14.870000,1.190000,95.360001,2014-08-12

安徽,45.430000,27.110001,45.430000,24.969999,21.870001,1.630000,84.430000,2014-08-13

安徽,58.500000,41.799999,66.570000,20.930000,18.490000,1.010000,85.110001,2014-08-14

安徽,62.665001,43.410000,75.330002,14.430000,15.780000,0.900000,97.680000,2014-08-15

安徽,55.404999,33.980000,60.810001,17.350000,16.120001,0.960000,110.279999,2014-08-16

安徽,59.474998,39.139999,68.949997,23.240000,21.370001,0.870000,99.589996,2014-08-17

安徽,53.090000,28.650000,56.180000,24.799999,22.110001,0.730000,82.260002,2014-08-18

安徽,108.462494,81.769997,116.680000,40.700001,38.700001,1.580000,64.019997,2014-08-19

安徽,93.537506,69.830002,111.440002,39.669998,37.540001,1.850000,88.900002,2014-08-20

安徽,59.095001,41.290001,68.190002,24.290001,19.420000,0.910000,98.330002,2014-08-21

安徽,62.845001,41.259998,75.690002,30.780001,22.070000,0.950000,94.169998,2014-08-22

安徽,81.875000,60.500000,83.959999,26.090000,18.059999,1.140000,85.400002,2014-08-23

安徽,60.500000,43.400002,58.430000,20.950001,18.070000,1.150000,82.629997,2014-08-24

安徽,74.537498,54.630001,84.809998,39.009998,21.790001,1.120000,109.220001,2014-08-25

安徽,87.612495,65.089996,105.410004,34.860001,29.680000,1.260000,108.629997,2014-08-26

安徽,66.462494,48.169998,79.029999,26.350000,29.590000,1.070000,66.150002,2014-08-27

安徽,53.059998,28.129999,56.119999,26.150000,26.200001,0.790000,77.029999,2014-08-28

安徽,61.369999,41.180000,72.739998,26.090000,24.990000,1.050000,102.290001,2014-08-29

安徽,54.230000,30.959999,58.459999,28.299999,32.660000,0.950000,60.459999,2014-08-30

安徽,44.400002,26.790001,44.400002,27.240000,30.070000,1.270000,67.709999,2014-08-31

安徽,57.775002,34.490002,65.550003,29.510000,36.090000,1.500000,57.750000,2014-09-01

安徽,50.375000,25.730000,35.619999,22.280001,40.299999,1.470000,45.349998,2014-09-02

安徽,55.900002,39.720001,54.700001,20.950001,18.740000,1.220000,83.449997,2014-09-03

安徽,59.189999,41.099998,68.379997,22.379999,25.139999,1.250000,106.709999,2014-09-04

安徽,78.162498,57.529999,93.190002,27.549999,35.590000,1.630000,123.430000,2014-09-05

安徽,99.049995,74.239998,112.160004,28.570000,33.209999,1.760000,114.120003,2014-09-06

